Wskusku,Description,Location,High,Tie,Case Height,Case Depth,Case Width,Case Weight
3500101,KRO BLACKEYED PEAS            ,G4BM02              ,10,17,4.50,12.13,9.13,13.20
3505728,BUSH PINTO BEANS              ,G4BM12              ,7,14,5.80,13.75,10.25,23.30
3500767,KRO SLICED PICKLED BEETS      ,G4BM22              ,10,17,4.50,12.00,9.25,13.50
3504389,BUSH HOMESTYL BAKED BEANS     ,G4BM32              ,7,14,6.00,13.50,10.50,24.70
3500392,DELMNT MEXICAN STR CORN       ,G4BM53              ,12,17,4.56,12.38,9.13,12.66
3502803,KRO CUT WAX BEANS             ,G4BM63              ,10,17,4.50,12.25,9.25,10.87
3500004,ALLN CUT ITALN GRN BEANS      ,G4BM73              ,10,10,4.50,16.00,12.00,27.00
3502011,BUSH PINTO BEANS              ,G4BM83              ,8,17,4.50,12.10,9.10,13.80
3500550,KRO DICED TOMATOES            ,G4BN53              ,10,10,4.78,16.24,12.12,24.60
3502617,SW PET CUT GARLC DCD TOM      ,G4BN63              ,12,17,4.56,12.38,9.13,13.00
3500705,KRO NSA TOMATO SAUCE          ,G4BN73              ,6,17,9.00,12.00,9.00,26.20
3504248,HNTS TOMATO PASTE             ,G4BN83              ,8,9,4.00,16.00,10.50,21.50
3504832,RNCH STYL JALAPENO BEANS      ,G4BP02              ,8,15,4.25,12.50,9.10,13.10
3503914,CAMP SPAGHETTIO FUN SHAPE     ,G4BP04              ,8,15,4.31,12.75,9.50,13.80
3501273,DELMNT FR STYL GRN BEANS      ,G4BP12              ,7,20,4.80,12.50,8.20,12.00
3500645,ROTEL FIRE RSTD DC TOMATO     ,G4BP14              ,8,20,4.13,11.13,8.31,9.70
3504284,HNTS TOMATO SAUCE             ,G4BP22              ,6,8,5.00,16.00,12.00,23.20
3501074,KRO TOMATO SAUCE              ,G4BP24              ,10,10,3.16,16.28,10.79,14.80
3504300,HNTS DICED TOMATO W/BGO       ,G4BP32              ,7,16,4.80,12.10,9.10,13.00
3500700,BUSH ORIGINAL BAKED BEANS     ,G4BP34              ,10,21,3.00,10.70,8.10,7.50
3506095,ALLN BLUE LAKE GRN BEANS      ,G4BP53              ,7,10,6.00,15.67,12.25,33.50
3505633,KRO TOMATO SAUCE 4PK          ,G4BP73              ,9,8,4.56,17.37,11.62,25.55
